TeamId;TrikotNr;Name;Geburtsdatum;Minuten;Tore;Gelbe;GelbRot;Rote
9;8;Leon Goretzka;06.02.1995;1282;4;2;0;0
9;1;Ralf Fährmann;27.09.1988;2340;0;1;0;0
9;3;Pablo Insua Blanco;09.09.1993;0;0;0;0;0
9;24;Bastian Oczipka;12.01.1989;2012;0;2;0;0
9;19;Guido Burgstaller;29.04.1989;1673;8;5;0;0
9;23;Cedric Teuchert;14.01.1997;0;0;0;0;0
9;32;Bernard Tekpetey;03.09.1997;0;0;0;0;0
9;14;Abdul Rahman Baba;02.07.1994;0;0;0;0;0
9;17;Benjamin Fernand Lucien Francois Stambouli;13.08.1990;1500;0;3;0;0
9;10;Nabil Bentaleb;24.11.1994;686;4;2;0;0
9;11;Yevhen Konoplyanka;29.09.1989;1199;2;1;0;0
9;25;Amine Harit;18.06.1997;1596;3;3;0;0
9;34;Michael Langer;06.01.1985;0;0;0;0;0
9;13;Denis Hubert Wieszolek;26.02.1996;0;0;0;0;0
9;37;Felix Schröter;23.01.1996;0;0;0;0;0
9;27;Jannis Kübler;25.05.1999;0;0;0;0;0
9;31;Nicholas Matthew Taitague;17.02.1999;0;0;0;0;0
9;30;Patryk Kamil Dragon;11.04.1996;0;0;0;0;0
9;22;Marko Pjaca;06.05.1995;243;2;0;0;0
100;11;André Hahn;13.08.1990;1336;3;0;0;0
100;5;Mergim Mustafe Mavraj;09.06.1986;1447;0;2;1;0
100;17;Filip Kostic;01.11.1992;1761;4;2;0;0
100;32;Frank Ronstadt;21.07.1997;0;0;0;0;0
100;15;Gian-Luca Waldschmidt;19.05.1996;429;0;0;0;0
100;7;Bobby Shou Wood;15.11.1992;1313;1;1;0;0
100;1;Christian Mathenia;31.03.1992;2160;0;2;0;0
100;37;Young-Jae Seo;23.05.1995;0;0;0;0;0
100;30;Andreas Hirzel;25.03.1993;0;0;0;0;0
100;36;Tom Mickel;19.04.1989;0;0;0;0;0
100;14;Aaron Hunt;04.09.1986;1468;1;1;0;0
100;20;Albin Ekdal;28.07.1989;939;0;2;0;0
100;19;Sven Schipplock;08.11.1988;335;0;0;0;0
100;24;Gotoku Sakai;14.03.1991;1580;0;2;0;0
100;28;Gideon Jung;12.09.1994;1941;1;4;0;1
100;8;Lewis Harry Holtby;18.09.1990;503;1;1;0;0
100;27;Nicolai Müller;25.09.1987;15;1;0;0;0
100;2;Dennis Diekmeier;20.10.1989;1779;0;4;0;0
100;9;Kyriakos Papadopoulos;23.02.1992;2160;1;9;1;0
100;18;Bakery Jatta;06.06.1998;244;0;1;0;0
100;25;Mats Köhlert;02.05.1998;0;0;0;0;0
100;6;Douglas dos Santos Justino De Melo;22.03.1994;1748;0;4;0;0
100;31;Mohamed Gouaida;15.05.1993;0;0;0;0;0
100;13;Julian Pollersbeck;16.08.1994;180;0;0;0;0
100;34;Arianit Ferati;07.09.1997;0;0;0;0;0
100;22;Bjarne Thoelke;11.04.1992;0;0;0;0;0
100;16;Vasilije Janjicic;02.11.1998;319;0;1;0;0
100;12;Walace Souza Silva;04.04.1995;1321;1;3;0;0
100;4;Rick van Drongelen;20.12.1998;1142;0;3;0;0
100;38;Jonas Behounek;17.05.1998;0;0;0;0;0
100;35;Christian Stark;18.02.1998;0;0;0;0;0
